dataset,IR,fold,rep,best_k,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_865_analcatdata_neavote,0.07526881720430108,1,0,3,0.0,0.0,0.0,0.5,0.0,0.7894736842105263
dataset_865_analcatdata_neavote,0.07526881720430108,2,0,5,0.0,0.0,0.0,0.5,0.0,0.9210526315789473
dataset_865_analcatdata_neavote,0.07526881720430108,3,0,1,0.0,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667
dataset_865_analcatdata_neavote,0.07526881720430108,4,0,1,0.0,0.0,0.0,0.5,0.0,0.5
dataset_940_water-treatment,0.1789709172259508,0,0,5,0.43478260869565216,0.7142857142857143,0.3125,0.6451388888888889,0.5527707983925666,0.7034722222222223
dataset_940_water-treatment,0.1789709172259508,1,0,5,0.2608695652173913,0.42857142857142855,0.1875,0.5715277777777779,0.4232808366400098,0.640625
dataset_940_water-treatment,0.1789709172259508,2,0,3,0.2,0.5,0.125,0.5512640449438202,0.3495583087783139,0.6618679775280899
dataset_940_water-treatment,0.1789709172259508,3,0,1,0.21428571428571427,0.25,0.1875,0.543188202247191,0.41053541362798,0.543188202247191
dataset_940_water-treatment,0.1789709172259508,4,0,5,0.10526315789473684,0.3333333333333333,0.0625,0.5200140449438202,0.24717505055724684,0.6214887640449438
dataset_947_arsenic-male-bladder,0.044859813084112146,0,0,1,0.6153846153846154,0.5,0.8,0.8813084112149533,0.8775496897292627,0.8813084112149533
dataset_947_arsenic-male-bladder,0.044859813084112146,1,0,1,0.5454545454545454,0.5,0.6,0.7859813084112149,0.7636606380411772,0.7859813084112149
dataset_947_arsenic-male-bladder,0.044859813084112146,2,0,1,0.6666666666666666,0.75,0.6,0.7953271028037383,0.7709685618522236,0.7953271028037384
dataset_947_arsenic-male-bladder,0.044859813084112146,3,0,1,0.4444444444444444,0.5,0.4,0.6906542056074767,0.6265168509194157,0.6906542056074766
dataset_947_arsenic-male-bladder,0.044859813084112146,4,0,1,0.5,0.5,0.5,0.7406542056074766,0.7004671338524575,0.7406542056074766
dataset_949_arsenic-female-bladder,0.16701461377870563,0,0,1,0.3333333333333333,0.3,0.375,0.6145833333333333,0.5659615711335886,0.6145833333333333
dataset_949_arsenic-female-bladder,0.16701461377870563,1,0,5,0.3333333333333333,0.5,0.25,0.6041666666666667,0.48947250518628044,0.7766927083333333
dataset_949_arsenic-female-bladder,0.16701461377870563,2,0,1,0.22857142857142856,0.21052631578947367,0.25,0.546875,0.4592793267718459,0.546875
dataset_949_arsenic-female-bladder,0.16701461377870563,3,0,1,0.3225806451612903,0.3333333333333333,0.3125,0.6041666666666667,0.5291010458000123,0.6041666666666666
dataset_949_arsenic-female-bladder,0.16701461377870563,4,0,1,0.3870967741935484,0.4,0.375,0.6401315789473685,0.5826437026266793,0.6401315789473684
dataset_950_arsenic-female-lung,0.03518518518518519,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_950_arsenic-female-lung,0.03518518518518519,1,0,3,0.4,1.0,0.25,0.625,0.5,0.7430555555555556
dataset_950_arsenic-female-lung,0.03518518518518519,2,0,1,0.75,0.75,0.75,0.8703703703703703,0.8620067027323833,0.8703703703703703
dataset_950_arsenic-female-lung,0.03518518518518519,3,0,3,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.8703703703703703
