dataset,n_min,ir_ratio,n_votes,gmean
dataset_984_analcatdata_draft,32,0.09580838323353294,15,0.6016134727313476
dataset_987_collins,80,0.19047619047619047,1,0.8673112518077936
dataset_987_collins,80,0.19047619047619047,2,0.8877620739071119
dataset_987_collins,80,0.19047619047619047,3,0.8825585515784532
dataset_987_collins,80,0.19047619047619047,5,0.8703864030195174
dataset_987_collins,80,0.19047619047619047,7,0.877073888242941
dataset_987_collins,80,0.19047619047619047,10,0.8743833595619787
dataset_987_collins,80,0.19047619047619047,15,0.8743833595619787
dataset_995_mfeat-zernike,200,0.1111111111111111,1,0.9727934183201705
dataset_995_mfeat-zernike,200,0.1111111111111111,2,0.9783047413346934
dataset_995_mfeat-zernike,200,0.1111111111111111,3,0.9738183034008141
dataset_995_mfeat-zernike,200,0.1111111111111111,5,0.9699421030695445
dataset_995_mfeat-zernike,200,0.1111111111111111,7,0.9679755195724266
dataset_995_mfeat-zernike,200,0.1111111111111111,10,0.9654432990126149
dataset_995_mfeat-zernike,200,0.1111111111111111,15,0.9654432990126149
dataset_980_optdigits,572,0.1133122028526149,1,0.97911996296581
dataset_980_optdigits,572,0.1133122028526149,2,0.9832909148537429
dataset_980_optdigits,572,0.1133122028526149,3,0.9766424007829532
dataset_980_optdigits,572,0.1133122028526149,5,0.9730937277935944
dataset_980_optdigits,572,0.1133122028526149,7,0.969532755711974
dataset_980_optdigits,572,0.1133122028526149,10,0.9654571478841454
dataset_980_optdigits,572,0.1133122028526149,15,0.9654571478841454
dataset_1018_ipums_la_99-small,568,0.06863218946350894,1,0.7572083135245522
dataset_1018_ipums_la_99-small,568,0.06863218946350894,2,0.7629864806244075
dataset_1018_ipums_la_99-small,568,0.06863218946350894,3,0.7640715489033015
dataset_1018_ipums_la_99-small,568,0.06863218946350894,5,0.7712165696198584
dataset_1018_ipums_la_99-small,568,0.06863218946350894,7,0.7739064090273601
dataset_1018_ipums_la_99-small,568,0.06863218946350894,10,0.7791345161315307
dataset_1018_ipums_la_99-small,568,0.06863218946350894,15,0.7791345161315307
dataset_976_JapaneseVowels,1614,0.19336288486881514,1,0.9865469716876023
dataset_976_JapaneseVowels,1614,0.19336288486881514,2,0.987935290784392
dataset_976_JapaneseVowels,1614,0.19336288486881514,3,0.9835676357671168
dataset_976_JapaneseVowels,1614,0.19336288486881514,5,0.9818632557863471
dataset_976_JapaneseVowels,1614,0.19336288486881514,7,0.9808285148195116
dataset_976_JapaneseVowels,1614,0.19336288486881514,10,0.9803410836694798
dataset_976_JapaneseVowels,1614,0.19336288486881514,15,0.9803410836694798
