dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1064_ar6,0.1744186046511628,0,0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5773502691896257,0.6574074074074074
dataset_1064_ar6,0.1744186046511628,1,0,0.0,0.0,0.0,0.5,0.0,0.6176470588235294
dataset_1064_ar6,0.1744186046511628,2,0,0.8,1.0,0.6666666666666666,0.8333333333333333,0.816496580927726,0.8627450980392156
dataset_1064_ar6,0.1744186046511628,3,0,0.0,0.0,0.0,0.5,0.0,0.6176470588235294
dataset_1064_ar6,0.1744186046511628,4,0,0.0,0.0,0.0,0.5,0.0,0.8137254901960784
dataset_1065_kc3,0.10361445783132531,0,0,0.2,1.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.7764390896921016
dataset_1065_kc3,0.10361445783132531,1,0,0.2,1.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.785809906291834
dataset_1065_kc3,0.10361445783132531,2,0,0.36363636363636365,1.0,0.2222222222222222,0.6111111111111112,0.4714045207910317,0.7757697456492637
dataset_1065_kc3,0.10361445783132531,3,0,0.0,0.0,0.0,0.4939759036144578,0.0,0.6265060240963856
dataset_1065_kc3,0.10361445783132531,4,0,0.18181818181818182,0.3333333333333333,0.125,0.5504518072289157,0.3492677365678498,0.6754518072289156
dataset_311_oil_spill,0.04575892857142857,0,0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6083178150217257,0.47008590416391605,0.9289261328367474
dataset_311_oil_spill,0.04575892857142857,1,0,0.2222222222222222,1.0,0.125,0.5625,0.3535533905932738,0.7395833333333333
dataset_311_oil_spill,0.04575892857142857,2,0,0.2,0.5,0.125,0.5597067039106145,0.35256442812293703,0.7838687150837989
dataset_311_oil_spill,0.04575892857142857,3,0,0.4,1.0,0.25,0.625,0.5,0.8540502793296089
dataset_311_oil_spill,0.04575892857142857,4,0,0.4,1.0,0.25,0.625,0.5,0.731145251396648
dataset_312_scene,0.21811740890688258,0,0,0.7165775401069518,0.6633663366336634,0.7790697674418605,0.8466055907916373,0.843907541691698,0.9161968522433639
dataset_312_scene,0.21811740890688258,1,0,0.7346938775510204,0.6605504587155964,0.8275862068965517,0.8669576604103011,0.8660632041556308,0.9350792957951404
dataset_312_scene,0.21811740890688258,2,0,0.7029702970297029,0.6120689655172413,0.8255813953488372,0.8558286723579629,0.8552939954562563,0.9108036502796586
dataset_312_scene,0.21811740890688258,3,0,0.75,0.7040816326530612,0.8023255813953488,0.8644539299381808,0.862218455667069,0.9413011480718282
dataset_312_scene,0.21811740890688258,4,0,0.694300518134715,0.6261682242990654,0.7790697674418605,0.8389019723285251,0.8367655743606388,0.9155725640270828
dataset_316_yeast_ml8,0.014267729752412925,0,0,0.0,0.0,0.0,0.5,0.0,0.4758909853249476
dataset_316_yeast_ml8,0.014267729752412925,1,0,0.0,0.0,0.0,0.5,0.0,0.6153039832285115
dataset_316_yeast_ml8,0.014267729752412925,2,0,0.0,0.0,0.0,0.5,0.0,0.4591194968553459
dataset_316_yeast_ml8,0.014267729752412925,3,0,0.0,0.0,0.0,0.5,0.0,0.4726890756302521
dataset_316_yeast_ml8,0.014267729752412925,4,0,0.0,0.0,0.0,0.5,0.0,0.4726890756302521
dataset_38_sick,0.06523580909347641,0,0,0.7160493827160493,0.8285714285714286,0.6304347826086957,0.8109860795977188,0.7906324370128378,0.9468786410743852
dataset_38_sick,0.06523580909347641,1,0,0.75,0.8048780487804879,0.7021276595744681,0.8454141122731098,0.8331830613398056,0.9561545858877268
dataset_38_sick,0.06523580909347641,2,0,0.7848101265822784,0.9393939393939394,0.6739130434782609,0.8355440923605993,0.8197617546067228,0.9705385654630313
dataset_38_sick,0.06523580909347641,3,0,0.6746987951807228,0.7567567567567568,0.6086956521739131,0.7979918938835667,0.7752148060882751,0.956352861704741
